"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年11月18日","16.38","17.01","17.01","16.27","4.00M","-1.97%"
"2019年11月15日","16.71","16.41","16.72","16.26","2.57M","2.33%"
"2019年11月14日","16.33","16.80","16.81","16.20","1.66M","-2.62%"
"2019年11月13日","16.77","16.58","17.00","16.58","1.93M","0.54%"
"2019年11月12日","16.68","16.79","16.88","16.48","3.22M","-0.54%"
"2019年11月11日","16.77","16.35","16.89","16.30","2.02M","1.15%"
"2019年11月8日","16.58","16.91","16.93","16.41","2.98M","-2.18%"
"2019年11月7日","16.95","16.61","16.96","16.60","3.43M","3.10%"
"2019年11月6日","16.44","16.42","16.50","16.29","1.44M","0.12%"
"2019年11月5日","16.42","16.78","16.78","16.38","1.97M","-2.15%"
"2019年11月4日","16.78","16.72","16.78","16.30","3.66M","1.94%"
"2019年11月1日","16.46","15.98","16.50","15.90","4.87M","4.24%"
"2019年10月31日","15.79","15.69","15.87","15.63","2.23M","0.51%"
"2019年10月30日","15.71","15.51","15.75","15.43","2.55M","0.90%"
"2019年10月29日","15.57","15.60","15.70","15.43","1.47M","-0.95%"
"2019年10月28日","15.72","15.56","15.91","15.50","2.35M","1.29%"
"2019年10月25日","15.52","15.10","15.61","15.10","1.75M","1.70%"
"2019年10月24日","15.26","14.50","15.51","14.50","4.09M","5.83%"
"2019年10月23日","14.42","14.55","14.70","14.34","1.15M","-0.96%"
"2019年10月22日","14.56","14.86","14.90","14.56","703.21K","-2.02%"
"2019年10月21日","14.86","14.50","14.89","14.47","1.40M","3.12%"
"2019年10月18日","14.41","14.30","14.55","14.25","1.34M","0.42%"
"2019年10月17日","14.35","14.63","14.69","14.30","2.95M","-1.44%"
"2019年10月16日","14.56","14.45","14.56","14.10","1.36M","0.34%"
"2019年10月15日","14.51","14.44","14.63","14.36","940.39K","1.11%"
"2019年10月14日","14.35","14.26","14.43","14.15","993.13K","-0.14%"
"2019年10月11日","14.37","14.56","14.80","14.32","2.76M","2.57%"
"2019年10月10日","14.01","13.81","14.08","13.79","1.45M","1.60%"
"2019年10月9日","13.79","13.78","13.82","13.53","1.37M","2.60%"
"2019年10月8日","13.44","13.57","13.60","13.23","2.65M","-1.47%"
"2019年10月7日","13.64","13.88","13.95","13.57","2.39M","-2.01%"
"2019年10月4日","13.92","14.17","14.25","13.85","1.35M","-2.11%"
"2019年10月3日","14.22","13.85","14.23","13.64","1.58M","3.04%"
"2019年10月2日","13.80","13.69","13.93","13.61","1.92M","0.00%"
